train_id,station_id,date,delay_minutes
0,0,2024-04-01,13
0,1,2024-04-01,42
0,6,2024-04-01,12
0,7,2024-04-01,11
0,11,2024-04-01,87
0,39,2024-04-01,21
0,8,2024-04-01,28
0,9,2024-04-01,3
1,0,2024-04-01,44
1,1,2024-04-01,15
1,44,2024-04-01,19
1,11,2024-04-01,102
1,12,2024-04-01,36
1,13,2024-04-01,22
2,0,2024-04-01,36
2,11,2024-04-01,61
2,12,2024-04-01,112
2,24,2024-04-01,9
2,31,2024-04-01,31
2,32,2024-04-01,14
3,1,2024-04-01,8
3,44,2024-04-01,12
3,11,2024-04-01,45
3,39,2024-04-01,36
3,28,2024-04-01,66
4,22,2024-04-01,25
4,49,2024-04-01,3
4,23,2024-04-01,13
4,48,2024-04-01,19
4,12,2024-04-01,106
4,11,2024-04-01,93
4,0,2024-04-01,8
5,10,2024-04-01,14
5,11,2024-04-01,85
5,39,2024-04-01,86
5,9,2024-04-01,5
6,14,2024-04-01,17
6,15,2024-04-01,19
6,11,2024-04-01,31
6,12,2024-04-01,87
6,13,2024-04-01,32
7,8,2024-04-01,68
7,47,2024-04-01,38
7,12,2024-04-01,36
8,17,2024-04-01,29
8,16,2024-04-01,31
8,13,2024-04-01,33
8,12,2024-04-01,86
8,0,2024-04-01,39
9,0,2024-04-01,1
9,11,2024-04-01,44
9,16,2024-04-01,24
10,20,2024-04-01,16
10,12,2024-04-01,24
10,11,2024-04-01,72
10,28,2024-04-01,13
11,22,2024-04-01,4
11,49,2024-04-01,38
11,12,2024-04-01,39
11,8,2024-04-01,83
11,9,2024-04-01,28
12,38,2024-04-01,16
12,30,2024-04-01,17
12,11,2024-04-01,74
12,0,2024-04-01,17
13,0,2024-04-01,16
13,6,2024-04-01,18
13,7,2024-04-01,4
14,0,2024-04-01,21
14,11,2024-04-01,73
14,10,2024-04-01,57
15,13,2024-04-01,8
15,12,2024-04-01,35
16,16,2024-04-01,42
16,19,2024-04-01,17
16,12,2024-04-01,60
17,15,2024-04-01,18
17,11,2024-04-01,45
17,39,2024-04-01,55
17,9,2024-04-01,19
18,31,2024-04-01,18
18,37,2024-04-01,12
18,24,2024-04-01,15
19,23,2024-04-01,13
19,24,2024-04-01,23
20,3,2024-04-01,46
20,5,2024-04-01,29
20,49,2024-04-01,40
20,26,2024-04-01,31
20,17,2024-04-01,18
20,6,2024-04-01,19
20,2,2024-04-01,18
21,24,2024-04-01,15
21,35,2024-04-01,38
21,21,2024-04-01,13
21,3,2024-04-01,11
21,10,2024-04-01,7
21,8,2024-04-01,63
21,21,2024-04-01,22
21,35,2024-04-01,15
22,21,2024-04-01,29
22,15,2024-04-01,15
22,10,2024-04-01,22
22,0,2024-04-01,14
22,27,2024-04-01,19
22,49,2024-04-01,31
22,5,2024-04-01,62
22,38,2024-04-01,32
22,24,2024-04-01,59
22,4,2024-04-01,38
23,0,2024-04-01,13
23,46,2024-04-01,9
23,28,2024-04-01,8
23,6,2024-04-01,13
23,2,2024-04-01,35
23,5,2024-04-01,46
23,42,2024-04-01,25
24,9,2024-04-01,0
24,1,2024-04-01,17
24,18,2024-04-01,20
24,27,2024-04-01,23
24,36,2024-04-01,28
24,30,2024-04-01,6
25,16,2024-04-01,8
25,2,2024-04-01,22
25,49,2024-04-01,24
25,19,2024-04-01,42
25,21,2024-04-01,63
25,33,2024-04-01,22
25,30,2024-04-01,13
25,13,2024-04-01,7
26,38,2024-04-01,9
26,33,2024-04-01,26
26,36,2024-04-01,17
26,20,2024-04-01,6
26,0,2024-04-01,25
26,25,2024-04-01,22
26,49,2024-04-01,42
26,41,2024-04-01,7
